,cid,m0,lat0,lon0,depth0,ot0,nf,na,nf_all,na_all,dm_a,b_a,rate_a,dm_f,b_f,rate_f,c_type,c_type60,fstyle_m,na_apr,nf_apr,na_all_apr,nf_all_apr,MmaxFS,dtmaxFS,MmaxFS60,dtmaxFS60,MmaxAS,dtmaxAS,RmaxFS,RmaxAS,Rpred,InterIntra,fstyle
17,170,7.1,-0.97,-21.86,10,1982-01-03T14:09:53.279998Z,0,1,0,1,1.3,-999,inf,-999,-999,-999,-1,-1,0,1,0,1,0,0,0,0,0,5.8,0,0,11.01045832,133.823798,-1,1
18,218,7.2,15.77,119.74,33,1999-12-11T18:03:35.999995Z,0,1,0,2,1,-999,inf,-999,-999,-999,-1,-1,2,1,0,2,0,0,0,0,0,6.2,0,0,151.4206574,156.1879214,-1,2
19,271,7,8.25,122.4,24,1978-06-14T12:32:32.640002Z,0,0,0,1,-999,-999,-999,-999,-999,-999,-1,-1,3,0,0,1,0,0,0,0,0,0,0,0,0,114.6619326,1,3
20,332,7,14.05,-91.94,69,1983-12-02T03:09:04.320001Z,0,1,0,2,1.4,-999,inf,-999,-999,-999,-1,-1,1,1,0,2,0,0,0,0,0,5.8,0,0,48.92503145,114.6619326,1,3
21,349,7.1,-16.39,-72.66,53,1979-02-16T10:08:49.919995Z,0,1,0,1,1.5,-999,inf,-999,-999,-999,-1,-1,0,1,0,1,0,0,0,0,0,5.6,0,0,12.23528166,133.823798,-1,3
22,352,7,39.12,44.03,36,1976-11-24T12:22:19.199998Z,0,0,0,1,-999,-999,-999,-999,-999,-999,-1,-1,2,0,0,1,0,0,0,0,0,0,0,0,0,114.6619326,-1,1
23,365,7.3,-9.97,160.73,33,1977-04-21T04:24:05.759998Z,3,2,4,7,1.3,-999,0.069288305,0.1,-999,119.9999999,4,4,1,2,3,7,4,7.2,0,7.2,0,6.1,0,47.54745826,118.2694682,182.289452,1,3
24,415,7.3,9.89,-84.89,19,1990-03-25T13:22:56.639995Z,0,1,0,5,1.6,-999,inf,-999,-999,-999,1,-1,3,1,0,5,0,0,0,0,0,6.3,0,0,64.68664702,182.289452,1,3
25,420,7.4,17.81,-101.28,49,1979-03-14T11:07:17.760001Z,1,1,4,1,1.8,-999,inf,1.7,-999,inf,1,-1,1,1,1,1,4,6.6,0,5.7,0,5.6,0,61.46438887,42.20038986,212.7529709,1,3
26,469,7.1,7.12,-76.89,10,1992-10-18T15:11:57.119999Z,1,1,1,1,1.6,-999,inf,0.5,-999,inf,-1,-1,3,1,1,1,1,6.6,0,6.6,0,5.5,0,28.86137047,64.12246869,133.823798,-1,3
27,477,7.4,33.39,57.43,33,1978-09-16T15:36:00.000002Z,0,0,0,5,-999,-999,-999,-999,-999,-999,2,-1,3,0,0,5,0,0,0,0,0,0,0,0,0,212.7529709,-1,3
28,513,7.1,18.22,-102.76,33,1997-01-11T20:28:27.839996Z,0,1,0,1,1.6,-999,inf,-999,-999,-999,-1,-1,3,1,0,1,0,0,0,0,0,5.5,0,0,15.8002384,133.823798,-1,2
29,524,7.2,-51.16,160.44,10,1982-07-07T10:43:06.240002Z,0,1,0,1,1.7,-999,inf,-999,-999,-999,-1,-1,0,1,0,1,0,0,0,0,0,5.5,0,0,52.52936023,156.1879214,1,1
30,582,7.3,2.77,95.96,26,2008-02-20T08:08:26.880004Z,0,1,3,4,1.3,-999,inf,-999,-999,-999,1,-1,1,1,0,4,3,6.1,0,0,0,6.3,0,50.97510646,152.4102855,182.289452,1,3
31,598,7,39.57,54.8,30,2000-12-06T17:11:02.400001Z,0,0,0,1,-999,-999,-999,-999,-999,-999,-1,-1,2,0,0,1,0,0,0,0,0,0,0,0,0,114.6619326,-1,3
32,621,7,-23.91,-70.21,42,1998-01-30T12:16:07.679996Z,0,0,0,2,-999,-999,-999,-999,-999,-999,-1,-1,1,0,0,2,0,0,0,0,0,0,0,0,0,114.6619326,1,3
33,632,7.1,11.33,122.17,15,1990-06-14T07:40:56.640001Z,0,1,0,2,1.7,-999,inf,-999,-999,-999,-1,-1,3,1,0,2,0,0,0,0,0,5.6,0,0,22.84850933,133.823798,-1,1
34,667,7,-60.15,-26.83,33,1987-01-30T22:29:42.719999Z,0,2,0,5,1.6,-999,11.82732112,-999,-999,-999,1,-1,3,2,0,5,0,0,0,0,0,6.2,0,0,68.61199805,114.6619326,1,3
35,715,7.1,-42.81,124.69,10,2001-12-12T14:02:32.640002Z,0,1,0,1,1.7,-999,inf,-999,-999,-999,-1,-1,0,1,0,1,0,0,0,0,0,5.4,0,0,18.6800742,133.823798,-1,1
36,718,7,42.49,43.65,10,1991-04-29T09:12:48.960001Z,0,2,0,4,0.9,-999,0.490713252,-999,-999,-999,1,-1,0,2,0,4,0,0,0,0,0,6.2,0,0,42.50397296,114.6619326,-1,3
37,777,7.5,-1.68,136.04,5,1979-09-12T05:17:48.479995Z,0,1,0,5,1.4,-999,inf,-999,-999,-999,1,-1,1,1,0,4,0,0,0,0,0,6.1,0,0,209.6038896,248.307437,1,1
38,796,7.6,-48.79,164.36,33,1981-05-25T05:25:17.759997Z,0,3,1,3,1.9,-999,0.163797481,-999,-999,-999,1,1,2,2,0,2,1,5.9,0,0,0,5.7,0,60.963805,48.71630948,289.8036301,1,1
39,797,7,2.96,126.93,37,1979-04-10T01:42:23.039995Z,0,0,0,4,-999,-999,-999,-999,-999,-999,1,-1,2,0,0,4,0,0,0,0,0,0,0,0,0,114.6619326,1,3
40,823,7.2,22.28,121.51,17,1978-07-23T14:42:34.559996Z,0,1,0,4,1.8,-999,inf,-999,-999,-999,2,-1,0,1,0,4,0,0,0,0,0,7,0,0,136.9085851,156.1879214,1,3
41,875,7.1,53.47,169.93,32,1990-11-06T20:14:29.760001Z,0,0,0,1,-999,-999,-999,-999,-999,-999,-1,-1,3,0,0,1,0,0,0,0,0,0,0,0,0,133.823798,1,3
42,889,7.4,-31.03,-67.77,13,1977-11-23T09:26:21.120000Z,0,6,0,8,1.3,-999,0.38620228,-999,-999,-999,1,1,3,6,0,7,0,0,0,0,0,6.1,0,0,72.3243449,212.7529709,-1,3
43,896,7,5.9,126.92,60.2,2018-12-29T03:39:10.080001Z,0,2,0,6,1.2,-999,0.114602016,-999,-999,-999,1,-1,0,2,0,6,0,0,0,0,0,5.8,0,0,99.15155524,114.6619326,1,3
44,911,7.6,44.93,148.44,33,1978-03-23T03:15:24.479999Z,2,5,2,6,0.1,-999,1.885938443,0.6,-999,16.3132137,2,2,3,4,2,5,2,7,0,7,0,7.5,0,99.54686481,138.7435844,289.8036301,1,3
45,912,7.2,16.77,122.33,37,1977-03-18T21:43:55.199999Z,0,1,0,4,1.1,-999,inf,-999,-999,-999,2,-1,3,1,0,4,0,0,0,0,0,6.8,0,0,152.2862738,156.1879214,1,3
46,916,7.2,-9.05,158.49,33,1991-10-14T15:58:10.560005Z,0,2,0,4,1.7,-999,0.069653162,-999,-999,-999,1,-1,3,2,0,4,0,0,0,0,0,5.8,0,0,98.46077702,156.1879214,1,3
47,925,8.1,1.6,-79.36,24,1979-12-12T07:59:05.280002Z,0,4,0,8,1.8,-999,0.160580015,-999,-999,-999,1,1,1,1,0,2,0,0,0,0,0,6.3,0,0,453.2530106,470.6906315,1,3
48,929,7.1,5.34,31.91,10,1990-05-24T20:00:05.760000Z,2,0,2,4,-999,-999,-999,0,-999,0.423980327,2,-1,0,0,2,4,2,0,0,0,0,0,0,0,0,133.823798,-1,2
49,932,7.4,36.96,49.41,10,1990-06-20T21:00:08.639995Z,0,3,0,3,1.7,-999,0.194308069,-999,-999,-999,1,1,1,1,0,1,0,0,0,0,0,5.7,0,0,49.57820764,212.7529709,-1,1
50,933,7.1,43.53,146.75,44,1980-02-23T05:51:04.320005Z,0,3,0,3,1,-999,0.341759606,-999,-999,-999,1,1,1,3,0,3,0,0,0,0,0,6.1,0,0,65.43919673,133.823798,-1,3
51,937,7.6,23.42,70.23,16,2001-01-26T03:16:42.239997Z,0,3,0,3,1.9,-999,0.134486932,-999,-999,-999,1,1,1,1,0,1,0,0,0,0,0,5.7,0,0,31.23668325,289.8036301,-1,3
52,954,7,-30.68,-177.36,33,1978-02-09T21:35:16.800005Z,2,3,2,10,0.7,-999,8.307947937,0.7,-999,3.077870114,5,1,1,3,2,10,2,6.3,0,6.3,0,6.7,0,63.52501316,82.86830011,114.6619326,1,3
53,970,7.1,-19.53,173.82,33,2000-02-25T01:43:58.080005Z,0,3,0,3,1.5,-999,0.303766707,-999,-999,-999,1,1,3,3,0,3,0,0,0,0,0,5.6,0,0,92.84861248,133.823798,-1,1
54,971,7,-18.13,167.95,33,1990-03-05T16:38:12.479998Z,0,0,0,6,-999,-999,-999,-999,-999,-999,1,-1,0,0,0,6,0,0,0,0,0,0,0,0,0,114.6619326,1,3
55,996,8,19.15,-104.22,49,1995-10-09T15:36:00.000002Z,1,2,1,11,2.1,-999,0.319672655,2.2,-999,inf,1,1,3,0,0,3,0,5.8,0,5.8,0,6.6,0,31.14730036,384.877224,537.7249613,1,3
56,997,7.2,28.82,34.86,10,1995-11-22T04:15:10.080003Z,0,2,0,3,1.5,-999,2.419257288,-999,-999,-999,1,-1,2,2,0,3,0,0,0,0,0,5.7,0,0,52.3960545,156.1879214,1,1
57,1027,7.2,-6.51,130.39,33,1992-12-20T20:52:39.360004Z,0,0,0,2,-999,-999,-999,-999,-999,-999,-1,-1,3,0,0,2,0,0,0,0,0,0,0,0,0,156.1879214,-1,0
58,1033,7.5,35.07,87.32,33,1997-11-08T10:02:55.680003Z,0,1,0,1,2.2,-999,inf,-999,-999,-999,-1,-1,3,0,0,0,0,0,0,0,0,5.3,0,0,177.9619194,248.307437,-1,1
59,1071,7.7,-8.51,121.89,35,1992-12-12T05:29:28.320003Z,0,3,1,8,2.2,-999,0.176656597,-999,-999,-999,1,1,1,0,0,3,1,6.1,0,0,0,6.2,0,131.2316432,243.2496198,338.2345089,1,3
60,1077,7.5,-9.62,-79.57,33,1996-02-21T12:51:07.200000Z,0,0,0,2,-999,-999,-999,-999,-999,-999,-1,-1,3,0,0,0,0,0,0,0,0,0,0,0,0,248.307437,1,3
61,1129,7.1,44.69,151.15,33,1982-06-30T01:57:30.240003Z,0,0,0,1,-999,-999,-999,-999,-999,-999,-1,-1,1,0,0,1,0,0,0,0,0,0,0,0,0,133.823798,-1,2
62,1131,7.7,40.37,139.15,33,1983-05-26T03:00:00.000000Z,0,5,0,5,0.9,-999,0.223715648,-999,-999,-999,1,1,0,3,0,3,0,0,0,0,0,6.8,0,0,105.6716914,338.2345089,-1,3
63,1132,7.2,-4.46,152.82,41,1985-07-03T04:36:54.720000Z,0,3,0,8,1.3,-999,0.224774663,-999,-999,-999,1,1,0,3,0,8,0,0,0,0,0,5.9,0,0,149.6997817,156.1879214,1,3
64,1149,7,21.8,120.55,10,2006-12-26T12:26:21.120000Z,0,2,0,4,0.1,-999,3.443526171,-999,-999,-999,2,-1,3,2,0,4,0,0,0,0,0,6.9,0,0,90.91572466,114.6619326,-1,2
65,1154,7.5,18.77,-104.1,24,2003-01-22T02:06:34.560004Z,0,3,0,5,1.6,-999,0.118225669,-999,-999,-999,1,1,3,1,0,3,0,0,0,0,0,6.1,0,0,209.8280597,248.307437,1,3
66,1178,7,36.21,141.76,34,1982-07-23T14:23:51.360003Z,1,5,1,7,1,-999,0.217758654,1.7,-999,inf,1,1,3,5,1,7,1,5.3,0,5.3,0,6,0,6.319947612,99.00514932,114.6619326,1,3
67,1200,7.2,-5.58,151.08,30,1985-05-10T15:35:51.359997Z,0,2,0,3,1.8,-999,0.115117852,-999,-999,-999,1,-1,0,2,0,3,0,0,0,0,0,5.4,0,0,110.2678569,156.1879214,-1,1
68,1203,7.7,-12.52,165.92,33,1980-07-17T19:42:23.039995Z,5,2,5,12,1,-999,0.442028025,0.2,-999,0.590290895,2,2,1,2,4,8,4,7.5,0,7.5,0,6.8,0,51.43604703,276.5427287,338.2345089,1,3
69,1207,7.5,-22.26,171.73,33,1981-07-06T03:08:21.120004Z,1,2,24,20,1.2,-999,0.33252972,1.7,-999,inf,4,1,1,2,1,18,22,7.4,0,5.8,0,6.7,0,326.0469747,322.8619959,248.307437,1,2
70,1220,7.4,-4.1,123.91,33,2001-10-19T03:28:48.000002Z,0,3,3,4,1.8,-999,1.588141874,-999,-999,-999,1,1,0,2,0,3,3,6.2,0,0,0,5.6,0,86.12107472,84.54194594,212.7529709,1,1
71,1228,8,18.18,-102.57,33,1985-09-19T13:17:45.600000Z,0,3,0,6,0.5,-999,0.422880663,-999,-999,-999,1,1,3,1,0,2,0,0,0,0,0,7.5,0,0,187.990769,537.7249613,1,3
72,1242,7.6,-43.41,-73.94,38,2016-12-25T14:22:24.959999Z,0,1,0,2,2.2,-999,inf,-999,-999,-999,-1,-1,3,0,0,0,0,0,0,0,0,5.4,0,0,183.2003655,289.8036301,1,3
73,1252,7.1,-37.71,178.77,59,1995-02-05T22:51:10.080005Z,0,0,0,3,-999,-999,-999,-999,-999,-999,1,-1,3,0,0,3,0,0,0,0,0,0,0,0,0,133.823798,-1,2
74,1258,7,-15.85,-74.56,45.8,2013-09-25T16:42:40.319996Z,0,0,0,3,-999,-999,-999,-999,-999,-999,1,-1,3,0,0,3,0,0,0,0,0,0,0,0,0,114.6619326,1,3
75,1276,7.1,-29.2,-177.61,33,1995-07-03T19:50:52.800004Z,0,4,0,7,1.6,-999,1.184799028,-999,-999,-999,1,1,3,4,0,7,0,0,0,0,0,6,0,0,146.9558132,133.823798,-1,3
76,1278,7.4,8.73,-83.12,33,1983-04-03T02:50:03.839997Z,0,4,1,10,1.5,-999,0.941198616,-999,-999,-999,1,1,1,4,0,9,1,5.4,0,0,0,6.3,0,88.6385438,177.5341873,212.7529709,1,3
77,1294,7.5,1.82,126.64,43,1986-08-14T19:39:12.959996Z,0,8,4,25,1.1,-999,0.291695077,-999,-999,-999,1,1,1,8,0,19,4,6.7,0,0,0,6.7,0,203.6597135,249.360655,248.307437,1,3
78,1306,7.2,14.73,-92.68,34,1993-09-10T19:12:51.839996Z,5,6,5,9,0.8,-999,0.727696114,0.5,-999,0.653193463,1,1,3,6,5,9,5,6.7,0,6.7,0,6.4,0,36.95757612,87.76600025,156.1879214,1,3
79,1315,7,-20.58,169.36,33,1994-02-12T17:58:24.960001Z,0,8,2,13,0.5,-999,1.719136134,-999,-999,-999,2,1,3,8,0,13,2,7,0,0,0,6.5,0,84.35182615,106.8292355,114.6619326,1,3
80,1318,7.5,-9.92,160.46,14,1984-02-07T21:33:24.480005Z,0,1,0,3,1.1,-999,inf,-999,-999,-999,1,-1,2,1,0,1,0,0,0,0,0,6.4,0,0,111.2437941,248.307437,-1,3
81,1337,7.2,4.56,-77.49,21,1991-11-19T22:28:50.879997Z,0,1,0,1,2,-999,inf,-999,-999,-999,-1,-1,1,1,0,1,0,0,0,0,0,5.2,0,0,20.05204058,156.1879214,1,3
82,1363,7.1,-1.59,135.01,13,1985-11-17T09:40:19.200004Z,0,2,0,4,1.1,-999,0.10342759,-999,-999,-999,1,-1,1,2,0,4,0,0,0,0,0,6,0,0,113.533665,133.823798,1,1
83,1391,7.5,8.39,126.78,33,1989-12-15T18:43:46.560004Z,0,9,1,14,1,-999,0.541346871,-999,-999,-999,1,1,3,7,0,10,0,5.2,0,0,0,6.5,0,33.829868,165.6129726,248.307437,1,3
84,1413,7.2,40.37,-124.32,15,1992-04-25T18:06:02.879997Z,0,2,2,3,0.6,-999,13.28903655,-999,-999,-999,1,-1,1,2,0,3,2,6.1,0,0,0,6.6,0,15.77876472,24.36264703,156.1879214,1,3
85,1420,7.1,-10.96,164.19,14,1993-03-06T03:05:45.599996Z,0,5,5,12,0.5,-999,0.261273972,-999,-999,-999,0,1,1,5,0,12,5,7,0,0,0,6.6,0,148.325077,147.9007107,133.823798,-1,1
86,1421,8.1,-49.31,161.35,10,2004-12-23T14:59:08.159997Z,0,2,0,9,2.1,-999,0.190128527,-999,-999,-999,1,-1,0,0,0,0,0,0,0,0,0,6,0,0,361.2899725,470.6906315,1,1
87,1425,7.9,-33.15,-71.98,33,1985-03-03T22:47:08.160004Z,1,14,1,30,0.5,-999,0.660505098,2.2,-999,inf,1,1,0,7,0,11,0,5.7,0,5.7,0,7.4,0,28.18650604,330.3858313,460.7295875,1,3
88,1441,7.6,11.76,-87.42,10,1992-09-02T00:15:59.040000Z,2,11,2,12,1.6,-999,0.480513013,1.9,-999,2.065049045,1,1,1,7,1,7,1,5.7,0,5.7,0,6,0,10.76383939,196.6576893,289.8036301,1,3
89,1454,7.1,-36.81,-179.57,33,2001-08-21T06:52:07.679998Z,0,0,0,10,-999,-999,-999,-999,-999,-999,1,-1,1,0,0,10,0,0,0,0,0,0,0,0,0,133.823798,-1,3
90,1469,7,-29.81,-177.85,33,1981-12-26T17:05:34.079996Z,4,2,6,8,1.6,-999,0.790420108,0.2,-999,3.472523656,5,2,0,2,4,8,6,6.8,0,6.8,0,6.4,0,78.12618609,85.27917497,114.6619326,-1,3
91,1478,7,38.64,142.75,33,1981-01-18T18:11:31.200003Z,2,3,2,6,0.6,-999,0.684806428,1.1,-999,23.36448598,1,1,2,3,2,6,2,5.9,0,5.9,0,6.4,0,25.38630275,70.75693171,114.6619326,1,3
92,1480,7,22.81,99.77,10,1988-11-06T13:03:12.960004Z,0,4,0,5,0.9,-999,0.172179273,-999,-999,-999,1,1,3,4,0,5,0,0,0,0,0,6.1,0,0,83.68719012,114.6619326,-1,1
93,1481,7.8,16.01,-96.59,18,1978-11-29T19:52:45.120004Z,0,2,0,3,2.2,-999,0.112763726,-999,-999,-999,1,-1,0,0,0,0,0,0,0,0,0,5.6,0,0,371.9926638,394.7589718,1,3
94,1487,7,-10.62,161.28,22,1979-10-23T09:51:07.200000Z,1,1,9,2,1.5,-999,inf,0.9,-999,inf,3,-1,2,1,1,2,9,7,0,6.1,0,6.2,0,156.4149176,35.8359188,114.6619326,1,3
95,1499,8.3,-11.08,118.46,33,1977-08-19T06:08:55.679995Z,1,14,2,38,1.7,-999,0.768905463,2.6,-999,inf,1,1,0,1,0,3,0,6.3,0,5.7,0,6.6,0,116.6293537,370.6013215,641.1560465,-1,2
96,1507,8,-22.88,-175.9,65,1977-06-22T12:08:29.759999Z,0,3,0,16,2.3,-999,0.191372909,-999,-999,-999,1,1,3,0,0,5,0,0,0,0,0,7.3,0,0,335.1609304,537.7249613,-1,2
97,1520,7.5,-14.99,-173.17,15,1981-09-01T09:29:31.199999Z,0,4,9,21,1.6,-999,6.049606776,-999,-999,-999,1,1,1,3,0,18,9,6.4,0,0,0,6.4,0,95.5421865,698.8312072,248.307437,-1,2
98,1528,7.3,-16.7,-172.1,33,1977-04-02T07:15:18.719998Z,0,0,0,12,-999,-999,-999,-999,-999,-999,1,-1,1,0,0,11,0,0,0,0,0,0,0,0,0,182.289452,1,3
99,1583,7,-6.35,148.76,33,1999-11-19T13:56:47.039996Z,5,1,5,1,0.6,-999,inf,0.1,-999,2.146844139,2,2,1,1,5,1,5,6.9,0,6.9,0,6.4,0,42.93147669,77.24907847,114.6619326,1,3
100,1584,7.2,-17.9,-172.29,33,1987-10-06T04:19:12.000004Z,0,0,0,3,-999,-999,-999,-999,-999,-999,1,-1,2,0,0,3,0,0,0,0,0,0,0,0,0,156.1879214,-1,2
101,1592,7.6,38.19,142.03,44,1978-06-12T08:14:29.760001Z,0,5,0,10,1.2,-999,0.375465577,-999,-999,-999,1,1,3,5,0,6,0,0,0,0,0,6.4,0,0,288.2929143,289.8036301,1,3
102,1628,7.6,-26.62,-70.77,18,1983-10-04T18:52:16.320003Z,0,2,2,5,1.1,-999,0.70177901,-999,-999,-999,1,-1,0,1,0,2,2,5.7,0,0,0,6.5,0,12.81106474,123.0494838,289.8036301,1,3
103,1641,7,-7.29,154.39,20,1987-10-12T13:57:04.319997Z,0,2,0,2,1.4,-999,2.207018318,-999,-999,-999,-1,-1,1,2,0,2,0,0,0,0,0,5.6,0,0,8.036990403,114.6619326,-1,2
104,1648,7.2,-45.1,167.14,28,2003-08-21T12:12:48.960001Z,0,2,0,5,1.7,-999,0.239120038,-999,-999,-999,1,-1,0,2,0,5,0,0,0,0,0,6.4,0,0,48.12383784,156.1879214,1,3
105,1659,7.4,-58.9,158.3,33,1987-09-03T06:40:10.559999Z,0,2,0,3,0.6,-999,1.117068811,-999,-999,-999,1,-1,2,1,0,2,0,0,0,0,0,6.8,0,0,208.704648,212.7529709,1,1
106,1662,7.6,-60.53,-43.41,10,2003-08-04T04:37:20.639996Z,0,3,0,3,2.3,-999,0.312519532,-999,-999,-999,1,1,1,0,0,0,0,0,0,0,0,5.3,0,0,91.38345273,289.8036301,1,2
107,1668,7.7,-14.99,-75.68,33,1996-11-12T16:59:39.840004Z,0,8,0,9,1.6,-999,0.446929871,-999,-999,-999,1,1,3,4,0,5,0,0,0,0,0,6.1,0,0,85.19741823,338.2345089,1,3
108,1672,7,-60.62,-25.44,33,1983-10-22T04:21:38.879996Z,0,3,0,4,0.5,-999,4.430005906,-999,-999,-999,1,1,1,3,0,4,0,0,0,0,0,6.5,0,0,90.72230555,114.6619326,-1,2
109,1678,7.1,2.26,126.82,33,1989-02-10T11:15:21.600003Z,0,11,0,14,0.8,-999,0.371011208,-999,-999,-999,1,1,3,11,0,14,0,0,0,0,0,6.3,0,0,150.1992756,133.823798,1,3
110,1681,7.9,-28.43,-177.66,33,1976-01-14T16:47:34.080000Z,2,3,2,13,1.5,-999,0.253254318,0.1,-999,0.1470372,2,2,3,2,2,9,2,7.8,0,7.8,0,7,0,89.60775154,13177.85489,460.7295875,1,3
111,1685,7.5,-24.19,-175.77,33,1982-12-19T17:43:52.320004Z,5,12,5,18,1.2,-999,0.487666111,1.6,-999,0.427105845,1,1,0,6,4,11,4,5.9,0,5.9,0,6.3,0,78.66104973,190.3654246,248.307437,1,3
112,1710,8.1,-62.88,149.53,10,1998-03-25T03:12:23.039995Z,0,5,0,7,1.7,-999,0.209138517,-999,-999,-999,1,1,2,1,0,2,0,0,0,0,0,6.4,0,0,339.9340368,470.6906315,-1,1
113,1727,7.3,23.96,121.82,33,1986-11-14T21:20:00.960002Z,0,1,2,4,1.5,-999,inf,-999,-999,-999,1,-1,1,1,0,2,2,6.2,0,0,0,5.8,0,23.67290799,37.82579622,182.289452,1,3
114,1736,7.9,28.15,84.71,15,2015-04-25T06:11:22.559997Z,0,9,0,10,0.7,-999,0.424516287,-999,-999,-999,1,1,2,4,0,4,0,0,0,0,0,7.2,0,0,360.2853556,460.7295875,1,3
115,1738,7.5,-10.21,160.77,38,1988-08-10T04:38:29.759999Z,0,3,0,11,1.9,-999,1.074267707,-999,-999,-999,1,1,3,1,0,6,0,0,0,0,0,6.4,0,0,147.4771278,248.307437,1,3
116,1751,8,-52.24,160.2,10,1989-05-23T10:54:46.080000Z,0,9,0,11,2.1,-999,0.514959576,-999,-999,-999,1,1,0,0,0,1,0,0,0,0,0,6.2,0,0,270.4757012,537.7249613,1,1
117,1752,7.5,-24.49,-70.17,27,1987-03-05T09:16:59.519998Z,0,5,0,14,0.6,-999,0.299641629,-999,-999,-999,5,1,0,5,0,12,0,0,0,0,0,7.2,0,0,201.8438085,248.307437,1,3
118,1753,7,32.79,130.75,10,2016-04-15T16:25:06.239996Z,4,5,4,6,1.5,-999,1.451463075,0.8,-999,36.66361137,1,1,3,5,4,6,4,6.2,0,6.2,0,5.5,0,10.39667764,77.21050014,114.6619326,-1,1
119,1758,7,40.29,63.33,26,1984-03-19T20:28:36.480001Z,0,1,0,2,1.9,-999,inf,-999,-999,-999,-1,-1,2,1,0,2,0,0,0,0,0,5.1,0,0,7.954495504,114.6619326,-1,3
